year;brand;satisfactionScore
1995;Toyota;84
1996;Toyota;84
1997;Toyota;84
1998;Toyota;85
1999;Toyota;83
2000;Toyota;82
2001;Toyota;83
2002;Toyota;83
2003;Toyota;85
2004;Toyota;84
2005;Toyota;87
2006;Toyota;87
2007;Toyota;84
2008;Toyota;86
2009;Toyota;86
2010;Toyota;84
2011;Toyota;87
2012;Toyota;85
2013;Toyota;86
2014;Toyota;83
2015;Toyota;82
2016;Toyota;85
2017;Toyota;86
2018;Toyota;83
2019;Toyota;81
2020;Toyota;80
1995;Honda;86
1996;Honda;83
1997;Honda;82
1998;Honda;81
1999;Honda;83
2000;Honda;82
2001;Honda;83
2002;Honda;82
2003;Honda;82
2004;Honda;85
2005;Honda;86
2006;Honda;86
2007;Honda;84
2008;Honda;86
2009;Honda;88
2010;Honda;84
2011;Honda;85
2012;Honda;83
2013;Honda;86
2014;Honda;83
2015;Honda;80
2016;Honda;86
2017;Honda;81
2018;Honda;83
2019;Honda;82
2020;Honda;79
1995;Mercedes-Benz;86
1996;Mercedes-Benz;87
1997;Mercedes-Benz;87
1998;Mercedes-Benz;86
1999;Mercedes-Benz;86
2000;Mercedes-Benz;87
2001;Mercedes-Benz;86
2002;Mercedes-Benz;83
2003;Mercedes-Benz;83
2004;Mercedes-Benz;80
2005;Mercedes-Benz;80
2006;Mercedes-Benz;82
2007;Mercedes-Benz;83
2008;Mercedes-Benz;82
2009;Mercedes-Benz;86
2010;Mercedes-Benz;86
2011;Mercedes-Benz;86
2012;Mercedes-Benz;85
2013;Mercedes-Benz;88
2014;Mercedes-Benz;86
2015;Mercedes-Benz;83
2016;Mercedes-Benz;81
2017;Mercedes-Benz;84
2018;Mercedes-Benz;82
2019;Mercedes-Benz;83
2020;Mercedes-Benz;80
1995;Saturn (GM);83
1996;Saturn (GM);81
1997;Saturn (GM);82
1998;Saturn (GM);85
1999;Saturn (GM);80
2000;Saturn (GM);82
2001;Saturn (GM);80
2002;Saturn (GM);81
2003;Saturn (GM);81
2004;Saturn (GM);81
2005;Saturn (GM);81
2006;Saturn (GM);80
2007;Saturn (GM);81
2008;Saturn (GM);85
